"Latitude","Longitude","UTC","Pollutant","AQI","Category","Location","ReportingAgency","StationID","FullStationID"
"30.4397","-84.3483","2021-10-20T20:00","PM2.5","12","1","Tallahassee Community College","Florida Dept. of Environmental Protection","120730012","840120730012"
"35.7197","-84.3417","2021-10-20T20:00","PM2.5","45","1","LOUDONMS","Tennessee Air Pollution Control Div.","471050109","840471050109"
"46.5331","-84.3094","2021-10-20T20:00","PM2.5","20","1","Sault Ste Marie","Ontario Ministry of the Environment","000060709","124000060709"
"33.6906","-84.2731","2021-10-20T20:00","PM2.5","45","1","South DeKalb","Georgia Department of Natural Resources","130890002","840130890002"
"39.42689","-84.20077","2021-10-20T20:00","PM2.5","41","1","Lebanon","Ohio EPA-DAPC","391650007","840391650007"
"39.758235","-84.197375","2021-10-20T20:00","PM2.5","45","1","Sinclair","Ohio EPA-DAPC","391130038","840391130038"
"30.0842","-84.1617","2021-10-20T20:00","PM2.5","8","1","St. Marks Wildlife Refuge","Florida Dept. of Environmental Protection","121290001","840121290001"
"33.4347","-84.1617","2021-10-20T20:00","PM2.5","41","1","McDonough","Georgia Department of Natural Resources","131510002","840131510002"
"39.0828","-84.1441","2021-10-20T20:00","PM2.5","43","1","Batavia","Ohio EPA-DAPC","390250022","840390250022"
"31.5767","-84.1002","2021-10-20T20:00","PM2.5","24","1","Albany","Georgia Department of Natural Resources","130950007","840130950007"
"33.9636","-84.0664","2021-10-20T20:00","PM2.5","48","1","Gwinnett Tech","Georgia Department of Natural Resources","131350002","840131350002"
"33.9636","-84.0664","2021-10-20T20:00","PM10","19","1","Gwinnett Tech","Georgia Department of Natural Resources","131350002","840131350002"
"40.771","-84.0539","2021-10-20T20:00","PM2.5","30","1","Lima","Ohio EPA-DAPC","390030009","840390030009"
"41.995602","-83.946701","2021-10-20T20:00","PM2.5","35","1","TECUMSEH","Michigan Department of Environment, Great Lakes, and Energy","260910007","840260910007"
"35.7683","-83.9422","2021-10-20T20:00","PM2.5","28","1","MARYVILL","Tennessee Air Pollution Control Div.","470090011","840470090011"
